Symbol,Class,Methodology,Window_Size1,Window_Size2,MA_Type,Flat,Dynamic_limits,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2,key3
CL=F,Commodities,SMA2,10,179,EMA,TRUE,FALSE,out_of_sample,1,0.1,10,1000,Active,-22,-1.89,71,71,14.94,32,1,-15.77,-93,-93,-14.25,119,1,2,25,-5.5,40,-0.1198,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_10_179_EMA_TRUE_FALSE_1_0.1_10,CL=F_10_179,CL=F_SMA2_10_179_EMA_TRUE_FALSE_1_0.1_10
CL=F,Commodities,SMA2,10,179,EMA,TRUE,FALSE,out_of_sample,1,0.1,10,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_10_179_EMA_TRUE_FALSE_1_0.1_10,CL=F_10_179,CL=F_SMA2_10_179_EMA_TRUE_FALSE_1_0.1_10
CL=F,Commodities,SMA2,10,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,5,1000,Active,-43,-3.67,74,74,11.69,33,1,-17.96,-76,-59,-12.18,42,2,2,25,3.75,25,-0.2043,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_10_215_SMA_TRUE_FALSE_1_0.2_5,CL=F_10_215,CL=F_SMA2_10_215_SMA_TRUE_FALSE_1_0.2_5
CL=F,Commodities,SMA2,10,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,5,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_10_215_SMA_TRUE_FALSE_1_0.2_5,CL=F_10_215,CL=F_SMA2_10_215_SMA_TRUE_FALSE_1_0.2_5
CL=F,Commodities,SMA2,10,215,SMA,TRUE,TRUE,out_of_sample,1,0.2,5,1000,Active,-43,-3.67,74,74,11.69,33,1,-17.96,-76,-59,-12.18,42,2,2,25,3.75,25,-0.2043,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_10_215_SMA_TRUE_TRUE_1_0.2_5,CL=F_10_215,CL=F_SMA2_10_215_SMA_TRUE_TRUE_1_0.2_5
CL=F,Commodities,SMA2,10,215,SMA,TRUE,TRUE,out_of_sample,1,0.2,5,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_10_215_SMA_TRUE_TRUE_1_0.2_5,CL=F_10_215,CL=F_SMA2_10_215_SMA_TRUE_TRUE_1_0.2_5
CL=F,Commodities,SMA2,12,179,EMA,TRUE,FALSE,out_of_sample,1,0.1,10,1000,Active,-42,-3.56,51,51,14.89,31,1,-16.78,-93,-93,-14.29,119,1,2,25,-10.5,40,-0.2122,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_12_179_EMA_TRUE_FALSE_1_0.1_10,CL=F_12_179,CL=F_SMA2_12_179_EMA_TRUE_FALSE_1_0.1_10
CL=F,Commodities,SMA2,12,179,EMA,TRUE,FALSE,out_of_sample,1,0.1,10,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_12_179_EMA_TRUE_FALSE_1_0.1_10,CL=F_12_179,CL=F_SMA2_12_179_EMA_TRUE_FALSE_1_0.1_10
CL=F,Commodities,SMA2,12,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,10,1000,Active,-6,-0.48,72,72,12.36,32,1,-16.75,-49,-39,-12.5,45,2,2,25,8.25,25,-0.0287,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_12_215_SMA_TRUE_FALSE_1_0.2_10,CL=F_12_215,CL=F_SMA2_12_215_SMA_TRUE_FALSE_1_0.2_10
CL=F,Commodities,SMA2,12,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,10,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_12_215_SMA_TRUE_FALSE_1_0.2_10,CL=F_12_215,CL=F_SMA2_12_215_SMA_TRUE_FALSE_1_0.2_10
CL=F,Commodities,SMA2,12,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,5,1000,Active,-6,-0.48,72,72,12.36,32,1,-16.75,-49,-39,-12.5,45,2,2,25,8.25,25,-0.0287,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_12_215_SMA_TRUE_FALSE_1_0.2_5,CL=F_12_215,CL=F_SMA2_12_215_SMA_TRUE_FALSE_1_0.2_5
CL=F,Commodities,SMA2,12,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,5,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_12_215_SMA_TRUE_FALSE_1_0.2_5,CL=F_12_215,CL=F_SMA2_12_215_SMA_TRUE_FALSE_1_0.2_5
CL=F,Commodities,SMA2,12,215,SMA,TRUE,TRUE,out_of_sample,1,0.2,5,1000,Active,-6,-0.48,72,72,12.36,32,1,-16.75,-49,-39,-12.5,45,2,2,25,8.25,25,-0.0287,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_12_215_SMA_TRUE_TRUE_1_0.2_5,CL=F_12_215,CL=F_SMA2_12_215_SMA_TRUE_TRUE_1_0.2_5
CL=F,Commodities,SMA2,12,215,SMA,TRUE,TRUE,out_of_sample,1,0.2,5,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_12_215_SMA_TRUE_TRUE_1_0.2_5,CL=F_12_215,CL=F_SMA2_12_215_SMA_TRUE_TRUE_1_0.2_5
CL=F,Commodities,SMA2,12,215,SMA,FALSE,FALSE,out_of_sample,1,0.1,10,1000,Active,-22,-1.83,71,47,12.21,19,1,-16.75,-87,-58,-12.44,42,1,3,40,-4.4,33,-0.1093,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_12_215_SMA_FALSE_FALSE_1_0.1_10,CL=F_12_215,CL=F_SMA2_12_215_SMA_FALSE_FALSE_1_0.1_10
CL=F,Commodities,SMA2,12,215,SMA,FALSE,FALSE,out_of_sample,1,0.1,10,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_12_215_SMA_FALSE_FALSE_1_0.1_10,CL=F_12_215,CL=F_SMA2_12_215_SMA_FALSE_FALSE_1_0.1_10
CL=F,Commodities,SMA2,12,215,SMA,FALSE,FALSE,out_of_sample,1,0.2,10,1000,Active,-6,-0.48,72,72,12.36,32,1,-16.75,-49,-39,-12.5,45,2,2,25,8.25,25,-0.0287,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_12_215_SMA_FALSE_FALSE_1_0.2_10,CL=F_12_215,CL=F_SMA2_12_215_SMA_FALSE_FALSE_1_0.2_10
CL=F,Commodities,SMA2,12,215,SMA,FALSE,FALSE,out_of_sample,1,0.2,10,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_12_215_SMA_FALSE_FALSE_1_0.2_10,CL=F_12_215,CL=F_SMA2_12_215_SMA_FALSE_FALSE_1_0.2_10
CL=F,Commodities,SMA2,12,215,SMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Active,-6,-0.48,72,72,12.36,32,1,-16.75,-49,-39,-12.5,45,2,2,25,8.25,25,-0.0287,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_12_215_SMA_FALSE_FALSE_1_0.2_5,CL=F_12_215,CL=F_SMA2_12_215_SMA_FALSE_FALSE_1_0.2_5
CL=F,Commodities,SMA2,12,215,SMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_12_215_SMA_FALSE_FALSE_1_0.2_5,CL=F_12_215,CL=F_SMA2_12_215_SMA_FALSE_FALSE_1_0.2_5
CL=F,Commodities,SMA2,14,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,10,1000,Active,-4,-0.31,53,53,12.43,31,1,-16.75,-31,-28,-12.52,45,2,2,25,6.25,25,-0.0185,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_14_215_SMA_TRUE_FALSE_1_0.2_10,CL=F_14_215,CL=F_SMA2_14_215_SMA_TRUE_FALSE_1_0.2_10
CL=F,Commodities,SMA2,14,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,10,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_14_215_SMA_TRUE_FALSE_1_0.2_10,CL=F_14_215,CL=F_SMA2_14_215_SMA_TRUE_FALSE_1_0.2_10
CL=F,Commodities,SMA2,14,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,5,1000,Active,-4,-0.31,53,53,12.43,31,1,-16.75,-31,-28,-12.52,45,2,2,25,6.25,25,-0.0185,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_14_215_SMA_TRUE_FALSE_1_0.2_5,CL=F_14_215,CL=F_SMA2_14_215_SMA_TRUE_FALSE_1_0.2_5
CL=F,Commodities,SMA2,14,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,5,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_14_215_SMA_TRUE_FALSE_1_0.2_5,CL=F_14_215,CL=F_SMA2_14_215_SMA_TRUE_FALSE_1_0.2_5
CL=F,Commodities,SMA2,14,215,SMA,TRUE,TRUE,out_of_sample,1,0.2,5,1000,Active,-4,-0.31,53,53,12.43,31,1,-16.75,-31,-28,-12.52,45,2,2,25,6.25,25,-0.0185,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_14_215_SMA_TRUE_TRUE_1_0.2_5,CL=F_14_215,CL=F_SMA2_14_215_SMA_TRUE_TRUE_1_0.2_5
CL=F,Commodities,SMA2,14,215,SMA,TRUE,TRUE,out_of_sample,1,0.2,5,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_14_215_SMA_TRUE_TRUE_1_0.2_5,CL=F_14_215,CL=F_SMA2_14_215_SMA_TRUE_TRUE_1_0.2_5
CL=F,Commodities,SMA2,14,215,SMA,FALSE,FALSE,out_of_sample,1,0.1,10,1000,Active,-22,-1.87,52,45,12.21,19,1,-16.75,-87,-56,-12.46,42,1,3,40,-4.4,50,-0.1116,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_14_215_SMA_FALSE_FALSE_1_0.1_10,CL=F_14_215,CL=F_SMA2_14_215_SMA_FALSE_FALSE_1_0.1_10
CL=F,Commodities,SMA2,14,215,SMA,FALSE,FALSE,out_of_sample,1,0.1,10,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_14_215_SMA_FALSE_FALSE_1_0.1_10,CL=F_14_215,CL=F_SMA2_14_215_SMA_FALSE_FALSE_1_0.1_10
CL=F,Commodities,SMA2,14,215,SMA,FALSE,FALSE,out_of_sample,1,0.2,10,1000,Active,-4,-0.31,53,53,12.43,31,1,-16.75,-31,-28,-12.52,45,2,2,25,6.25,25,-0.0185,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_14_215_SMA_FALSE_FALSE_1_0.2_10,CL=F_14_215,CL=F_SMA2_14_215_SMA_FALSE_FALSE_1_0.2_10
CL=F,Commodities,SMA2,14,215,SMA,FALSE,FALSE,out_of_sample,1,0.2,10,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_14_215_SMA_FALSE_FALSE_1_0.2_10,CL=F_14_215,CL=F_SMA2_14_215_SMA_FALSE_FALSE_1_0.2_10
CL=F,Commodities,SMA2,17,179,SMA,TRUE,TRUE,out_of_sample,1,0.2,5,1000,Active,-42,-3.52,55,55,14.16,24,1,-17.5,-70,-48,-14.39,74,2,2,25,1.75,25,-0.2011,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_17_179_SMA_TRUE_TRUE_1_0.2_5,CL=F_17_179,CL=F_SMA2_17_179_SMA_TRUE_TRUE_1_0.2_5
CL=F,Commodities,SMA2,17,179,SMA,TRUE,TRUE,out_of_sample,1,0.2,5,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_17_179_SMA_TRUE_TRUE_1_0.2_5,CL=F_17_179,CL=F_SMA2_17_179_SMA_TRUE_TRUE_1_0.2_5
CL=F,Commodities,SMA2,17,215,SMA,TRUE,FALSE,out_of_sample,1,0.1,10,1000,Active,-24,-2.07,70,70,12.34,32,1,-16.75,-87,-47,-12.33,39,1,3,20,4.6,33,-0.1236,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_17_215_SMA_TRUE_FALSE_1_0.1_10,CL=F_17_215,CL=F_SMA2_17_215_SMA_TRUE_FALSE_1_0.1_10
CL=F,Commodities,SMA2,17,215,SMA,TRUE,FALSE,out_of_sample,1,0.1,10,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_17_215_SMA_TRUE_FALSE_1_0.1_10,CL=F_17_215,CL=F_SMA2_17_215_SMA_TRUE_FALSE_1_0.1_10
CL=F,Commodities,SMA2,17,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,5,1000,Active,65,5.45,77,42,13.09,19,2,-16.75,-19,-19,-12.1,83,1,2,50,11.5,25,0.3254,2024-01-02 to 2025-03-07,CL=F_Active_SMA2_17_215_SMA_TRUE_FALSE_1_0.2_5,CL=F_17_215,CL=F_SMA2_17_215_SMA_TRUE_FALSE_1_0.2_5
CL=F,Commodities,SMA2,17,215,SMA,TRUE,FALSE,out_of_sample,1,0.2,5,1000,Passive,-45,-3.79,Not Applicable,Not Applicable,15.05,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.05,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1547,2024-01-02 to 2025-03-07,CL=F_Passive_SMA2_17_215_SMA_TRUE_FALSE_1_0.2_5,CL=F_17_215,CL=F_SMA2_17_215_SMA_TRUE_FALSE_1_0.2_5
