Symbol,Class,Methodology,Window_Size1,Window_Size2,MA_Type,Flat,Dynamic_limits,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2,key3
EURUSD=X,FX,SMA2,25,149,SMA,TRUE,TRUE,out_of_sample,5,0.1,5,1000,Active,210,16.81,150,70,18.32,64,2,-11.11,0,NaN,-16.18,,0,3,50,NaN,38,1.5131,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_25_149_SMA_TRUE_TRUE_5_0.1_5,EURUSD=X_25_149,EURUSD=X_SMA2_25_149_SMA_TRUE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,25,149,SMA,TRUE,TRUE,out_of_sample,5,0.1,5,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_25_149_SMA_TRUE_TRUE_5_0.1_5,EURUSD=X_25_149,EURUSD=X_SMA2_25_149_SMA_TRUE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,25,149,SMA,FALSE,FALSE,out_of_sample,5,0.2,10,1000,Active,-55,-4.51,16,16,17.65,2,1,-22.97,-61,-35,-17.9,111,2,2,25,-4.75,0,-0.1963,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_25_149_SMA_FALSE_FALSE_5_0.2_10,EURUSD=X_25_149,EURUSD=X_SMA2_25_149_SMA_FALSE_FALSE_5_0.2_10
EURUSD=X,FX,SMA2,25,149,SMA,FALSE,FALSE,out_of_sample,5,0.2,10,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_25_149_SMA_FALSE_FALSE_5_0.2_10,EURUSD=X_25_149,EURUSD=X_SMA2_25_149_SMA_FALSE_FALSE_5_0.2_10
EURUSD=X,FX,SMA2,25,149,SMA,FALSE,FALSE,out_of_sample,5,0.2,5,1000,Active,-55,-4.51,16,16,17.65,2,1,-22.97,-61,-35,-17.9,111,2,2,25,-4.75,0,-0.1963,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_25_149_SMA_FALSE_FALSE_5_0.2_5,EURUSD=X_25_149,EURUSD=X_SMA2_25_149_SMA_FALSE_FALSE_5_0.2_5
EURUSD=X,FX,SMA2,25,149,SMA,FALSE,FALSE,out_of_sample,5,0.2,5,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_25_149_SMA_FALSE_FALSE_5_0.2_5,EURUSD=X_25_149,EURUSD=X_SMA2_25_149_SMA_FALSE_FALSE_5_0.2_5
EURUSD=X,FX,SMA2,25,179,SMA,TRUE,TRUE,out_of_sample,5,0.1,10,1000,Active,63,5.11,132,132,16.36,112,1,-11.08,-69,-69,-15.42,33,1,3,20,12.6,29,0.4612,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_25_179_SMA_TRUE_TRUE_5_0.1_10,EURUSD=X_25_179,EURUSD=X_SMA2_25_179_SMA_TRUE_TRUE_5_0.1_10
EURUSD=X,FX,SMA2,25,179,SMA,TRUE,TRUE,out_of_sample,5,0.1,10,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_25_179_SMA_TRUE_TRUE_5_0.1_10,EURUSD=X_25_179,EURUSD=X_SMA2_25_179_SMA_TRUE_TRUE_5_0.1_10
EURUSD=X,FX,SMA2,25,179,SMA,TRUE,TRUE,out_of_sample,5,0.1,5,1000,Active,63,5.11,132,132,16.36,112,1,-11.08,-69,-69,-15.42,33,1,3,20,12.6,29,0.4612,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_25_179_SMA_TRUE_TRUE_5_0.1_5,EURUSD=X_25_179,EURUSD=X_SMA2_25_179_SMA_TRUE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,25,179,SMA,TRUE,TRUE,out_of_sample,5,0.1,5,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_25_179_SMA_TRUE_TRUE_5_0.1_5,EURUSD=X_25_179,EURUSD=X_SMA2_25_179_SMA_TRUE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,30,104,SMA,TRUE,FALSE,out_of_sample,5,0.2,10,1000,Active,-58,-4.75,38,38,16.38,16,1,-22.15,-38,-24,-16.15,68,4,3,17,2.38,50,-0.2144,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_104_SMA_TRUE_FALSE_5_0.2_10,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_TRUE_FALSE_5_0.2_10
EURUSD=X,FX,SMA2,30,104,SMA,TRUE,FALSE,out_of_sample,5,0.2,10,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_104_SMA_TRUE_FALSE_5_0.2_10,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_TRUE_FALSE_5_0.2_10
EURUSD=X,FX,SMA2,30,104,SMA,TRUE,FALSE,out_of_sample,5,0.2,5,1000,Active,-58,-4.75,38,38,16.38,16,1,-22.15,-38,-24,-16.15,68,4,3,17,2.38,50,-0.2144,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_104_SMA_TRUE_FALSE_5_0.2_5,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_TRUE_FALSE_5_0.2_5
EURUSD=X,FX,SMA2,30,104,SMA,TRUE,FALSE,out_of_sample,5,0.2,5,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_104_SMA_TRUE_FALSE_5_0.2_5,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_TRUE_FALSE_5_0.2_5
EURUSD=X,FX,SMA2,30,104,SMA,TRUE,TRUE,out_of_sample,5,0.1,10,1000,Active,165,13.25,119,67,17.07,69,1,-13.68,-34,-18,-15.2,25,2,4,38,18.62,50,0.9686,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_104_SMA_TRUE_TRUE_5_0.1_10,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_TRUE_TRUE_5_0.1_10
EURUSD=X,FX,SMA2,30,104,SMA,TRUE,TRUE,out_of_sample,5,0.1,10,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_104_SMA_TRUE_TRUE_5_0.1_10,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_TRUE_TRUE_5_0.1_10
EURUSD=X,FX,SMA2,30,104,SMA,TRUE,TRUE,out_of_sample,5,0.1,5,1000,Active,165,13.25,119,67,17.07,69,1,-13.68,-34,-18,-15.2,25,2,4,38,18.62,50,0.9686,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_104_SMA_TRUE_TRUE_5_0.1_5,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_TRUE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,30,104,SMA,TRUE,TRUE,out_of_sample,5,0.1,5,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_104_SMA_TRUE_TRUE_5_0.1_5,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_TRUE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,30,104,SMA,FALSE,FALSE,out_of_sample,5,0.2,10,1000,Active,-58,-4.75,38,38,16.38,16,1,-22.15,-38,-24,-16.15,68,4,3,17,2.38,50,-0.2144,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_104_SMA_FALSE_FALSE_5_0.2_10,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_FALSE_FALSE_5_0.2_10
EURUSD=X,FX,SMA2,30,104,SMA,FALSE,FALSE,out_of_sample,5,0.2,10,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_104_SMA_FALSE_FALSE_5_0.2_10,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_FALSE_FALSE_5_0.2_10
EURUSD=X,FX,SMA2,30,104,SMA,FALSE,FALSE,out_of_sample,5,0.2,5,1000,Active,-58,-4.75,38,38,16.38,16,1,-22.15,-38,-24,-16.15,68,4,3,17,2.38,50,-0.2144,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_104_SMA_FALSE_FALSE_5_0.2_5,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_FALSE_FALSE_5_0.2_5
EURUSD=X,FX,SMA2,30,104,SMA,FALSE,FALSE,out_of_sample,5,0.2,5,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_104_SMA_FALSE_FALSE_5_0.2_5,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_FALSE_FALSE_5_0.2_5
EURUSD=X,FX,SMA2,30,104,SMA,FALSE,TRUE,out_of_sample,5,0.1,10,1000,Active,-126,-10.4,138,73,16.37,68,1,-28.45,-214,-69,-16.64,17,2,5,33,1.32,50,-0.3656,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_104_SMA_FALSE_TRUE_5_0.1_10,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_FALSE_TRUE_5_0.1_10
EURUSD=X,FX,SMA2,30,104,SMA,FALSE,TRUE,out_of_sample,5,0.1,10,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_104_SMA_FALSE_TRUE_5_0.1_10,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_FALSE_TRUE_5_0.1_10
EURUSD=X,FX,SMA2,30,104,SMA,FALSE,TRUE,out_of_sample,5,0.1,5,1000,Active,-126,-10.4,138,73,16.37,68,1,-28.45,-214,-69,-16.64,17,2,5,33,1.32,50,-0.3656,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_104_SMA_FALSE_TRUE_5_0.1_5,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_FALSE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,30,104,SMA,FALSE,TRUE,out_of_sample,5,0.1,5,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_104_SMA_FALSE_TRUE_5_0.1_5,EURUSD=X_30_104,EURUSD=X_SMA2_30_104_SMA_FALSE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,30,124,SMA,TRUE,TRUE,out_of_sample,5,0.1,10,1000,Active,70,5.65,133,85,16,95,1,-11.69,-100,-100,-13.29,24,1,4,29,-4.35,30,0.4833,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_124_SMA_TRUE_TRUE_5_0.1_10,EURUSD=X_30_124,EURUSD=X_SMA2_30_124_SMA_TRUE_TRUE_5_0.1_10
EURUSD=X,FX,SMA2,30,124,SMA,TRUE,TRUE,out_of_sample,5,0.1,10,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_124_SMA_TRUE_TRUE_5_0.1_10,EURUSD=X_30_124,EURUSD=X_SMA2_30_124_SMA_TRUE_TRUE_5_0.1_10
EURUSD=X,FX,SMA2,30,124,SMA,TRUE,TRUE,out_of_sample,5,0.1,5,1000,Active,70,5.65,133,85,16,95,1,-11.69,-100,-100,-13.29,24,1,4,29,-4.35,30,0.4833,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_124_SMA_TRUE_TRUE_5_0.1_5,EURUSD=X_30_124,EURUSD=X_SMA2_30_124_SMA_TRUE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,30,124,SMA,TRUE,TRUE,out_of_sample,5,0.1,5,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_124_SMA_TRUE_TRUE_5_0.1_5,EURUSD=X_30_124,EURUSD=X_SMA2_30_124_SMA_TRUE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,30,124,SMA,TRUE,TRUE,out_of_sample,5,0.2,10,1000,Active,-102,-8.42,0,NaN,15.72,,0,-21.06,-62,-34,-15.14,85,3,3,0,NaN,17,-0.3998,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_124_SMA_TRUE_TRUE_5_0.2_10,EURUSD=X_30_124,EURUSD=X_SMA2_30_124_SMA_TRUE_TRUE_5_0.2_10
EURUSD=X,FX,SMA2,30,124,SMA,TRUE,TRUE,out_of_sample,5,0.2,10,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_124_SMA_TRUE_TRUE_5_0.2_10,EURUSD=X_30_124,EURUSD=X_SMA2_30_124_SMA_TRUE_TRUE_5_0.2_10
EURUSD=X,FX,SMA2,30,124,SMA,TRUE,TRUE,out_of_sample,5,0.2,5,1000,Active,-102,-8.42,0,NaN,15.72,,0,-21.06,-62,-34,-15.14,85,3,3,0,NaN,17,-0.3998,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_124_SMA_TRUE_TRUE_5_0.2_5,EURUSD=X_30_124,EURUSD=X_SMA2_30_124_SMA_TRUE_TRUE_5_0.2_5
EURUSD=X,FX,SMA2,30,124,SMA,TRUE,TRUE,out_of_sample,5,0.2,5,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_124_SMA_TRUE_TRUE_5_0.2_5,EURUSD=X_30_124,EURUSD=X_SMA2_30_124_SMA_TRUE_TRUE_5_0.2_5
EURUSD=X,FX,SMA2,30,149,SMA,TRUE,TRUE,out_of_sample,5,0.1,10,1000,Active,27,2.17,64,64,16.14,104,1,-10.94,-26,-19,-15.46,39,2,3,17,7.65,38,0.1984,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_149_SMA_TRUE_TRUE_5_0.1_10,EURUSD=X_30_149,EURUSD=X_SMA2_30_149_SMA_TRUE_TRUE_5_0.1_10
EURUSD=X,FX,SMA2,30,149,SMA,TRUE,TRUE,out_of_sample,5,0.1,10,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_149_SMA_TRUE_TRUE_5_0.1_10,EURUSD=X_30_149,EURUSD=X_SMA2_30_149_SMA_TRUE_TRUE_5_0.1_10
EURUSD=X,FX,SMA2,30,149,SMA,TRUE,TRUE,out_of_sample,5,0.1,5,1000,Active,27,2.17,64,64,16.14,104,1,-10.94,-26,-19,-15.46,39,2,3,17,7.65,38,0.1984,2024-01-02 to 2025-03-10,EURUSD=X_Active_SMA2_30_149_SMA_TRUE_TRUE_5_0.1_5,EURUSD=X_30_149,EURUSD=X_SMA2_30_149_SMA_TRUE_TRUE_5_0.1_5
EURUSD=X,FX,SMA2,30,149,SMA,TRUE,TRUE,out_of_sample,5,0.1,5,1000,Passive,-130,-10.72,Not Applicable,Not Applicable,13.51,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2914,2024-01-02 to 2025-03-10,EURUSD=X_Passive_SMA2_30_149_SMA_TRUE_TRUE_5_0.1_5,EURUSD=X_30_149,EURUSD=X_SMA2_30_149_SMA_TRUE_TRUE_5_0.1_5
